omega,F
17.04,0.672
14.65,0.699
15.27,0.793
15.76,0.837
16.42,0.89
17.09,0.88
17.65,1.039
18.34,1.085
19.07,1.179
19.73,1.225
20.15,1.273
20.52,1.323
20.82,1.361
21.02,1.406
21.5,1.471
22.1,1.557
22.53,1.601
23.04,1.691
23.53,1.719
23.93,1.776
24.32,1.855
24.71,1.912
24.99,1.949
25.24,1.986
25.45,2.014
25.97,2.089
26.58,2.109
26.96,2.169
27.14,2.203
27.3,2.165
27.51,2.28
27.68,2.271
27.82,2.311
28.04,2.301
28.41,2.418
28.7,2.367
29.13,2.501
29.63,2.571
30.37,2.55
31.16,2.565
31.66,2.627
31.93,2.67
31.91,2.68
31.91,2.716
32.17,2.773
32.44,2.828
32.64,2.858
32.88,2.885
33.15,2.942
33.46,3.011
33.79,3.065
34.23,3.152
34.68,3.235
35.08,3.298
35.46,3.375
35.77,3.425
35.98,3.472
36.24,3.545
36.47,3.58
36.74,3.762
36.96,3.832
37.17,3.88
37.39,4.024
37.51,3.929
37.55,4.058
37.59,4.048
37.78,4.002
38.08,4.214
38.3,4.185
38.48,4.187
38.64,4.21
38.81,4.356
39.04,4.359
39.36,4.378
39.76,4.449
40.04,4.505
40.3,4.642
40.57,4.714
40.87,4.754
41.14,4.774
41.28,4.788
41.38,4.795
41.46,4.792
41.62,4.816
41.8,4.839
41.98,4.887
42.26,4.945
42.55,5.002
42.82,5.078
43.12,5.144
43.39,5.279
43.76,5.385
44.09,5.306
44.35,5.375
44.57,5.411
44.96,5.452
45.25,5.665
45.52,5.795
45.93,5.696
46.28,5.647
46.49,5.887
46.67,6.006
46.86,5.926
47.1,5.936
47.39,6.05
47.59,5.953
47.72,6.167
47.84,6.155
47.95,6.158
48.09,6.328
48.36,6.187
48.59,6.343
48.77,6.336
49.05,6.371
49.37,6.518
49.62,6.363
49.8,6.662
49.95,6.447
50.06,6.736
50.13,6.501
50.14,6.765
50.22,6.563
50.31,6.703
50.35,6.597
50.33,6.823
50.25,6.574
